V9E0zij,Mon, 11 Mar 2019 19:32:45 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:33:09 GMT,click, sortby, worried
V9E0zij,Mon, 11 Mar 2019 19:33:13 GMT,click, sortby, sad
V9E0zij,Mon, 11 Mar 2019 19:34:18 GMT,click, sortby, sad
V9E0zij,Mon, 11 Mar 2019 19:34:40 GMT,click, idea, 23
V9E0zij,Mon, 11 Mar 2019 19:34:45 GMT,click, idea, 33
V9E0zij,Mon, 11 Mar 2019 19:35:12 GMT,click, idea, 27
V9E0zij,Mon, 11 Mar 2019 19:35:43 GMT,click, idea, 27
V9E0zij,Mon, 11 Mar 2019 19:35:44 GMT,click, idea, 33
V9E0zij,Mon, 11 Mar 2019 19:35:46 GMT,click, idea, 23
V9E0zij,Mon, 11 Mar 2019 19:35:49 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:35:53 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 19:35:56 GMT,click, idea, 25
V9E0zij,Mon, 11 Mar 2019 19:36:00 GMT,click, idea, 24
V9E0zij,Mon, 11 Mar 2019 19:37:16 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 19:38:18 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 19:38:19 GMT,click, idea, 24
V9E0zij,Mon, 11 Mar 2019 19:38:20 GMT,click, idea, 25
V9E0zij,Mon, 11 Mar 2019 19:38:20 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 19:38:22 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 19:38:27 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 19:38:28 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 19:38:45 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 19:38:47 GMT,click, idea, 25
V9E0zij,Mon, 11 Mar 2019 19:38:52 GMT,click, idea, 24
V9E0zij,Mon, 11 Mar 2019 19:38:53 GMT,click, idea, 25
V9E0zij,Mon, 11 Mar 2019 19:38:58 GMT,click, idea, 24
V9E0zij,Mon, 11 Mar 2019 19:39:00 GMT,click, idea, 14
V9E0zij,Mon, 11 Mar 2019 19:39:06 GMT,click, idea, 14
V9E0zij,Mon, 11 Mar 2019 19:39:18 GMT,click, sortby, happy
V9E0zij,Mon, 11 Mar 2019 19:39:22 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:40:50 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:40:55 GMT,click, sortby, excited
V9E0zij,Mon, 11 Mar 2019 19:45:57 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:46:02 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:46:05 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 19:46:08 GMT,click, idea, 3, emotion, angry
V9E0zij,Mon, 11 Mar 2019 19:46:13 GMT,click, sortby, negative
V9E0zij,Mon, 11 Mar 2019 19:46:15 GMT,click, sortby, negative
V9E0zij,Mon, 11 Mar 2019 19:46:16 GMT,click, idea, 33sentiment negative
V9E0zij,Mon, 11 Mar 2019 20:35:25 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 20:35:29 GMT,click, idea, 3, emotion, angry
V9E0zij,Mon, 11 Mar 2019 20:35:30 GMT,click, idea, 3, emotion, angry
V9E0zij,Mon, 11 Mar 2019 20:35:31 GMT,click, idea, 3, emotion, angry
V9E0zij,Mon, 11 Mar 2019 20:35:33 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 20:35:34 GMT,click, sortby, worried
V9E0zij,Mon, 11 Mar 2019 20:35:36 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:42 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:43 GMT,click, refresh
V9E0zij,Mon, 11 Mar 2019 20:35:44 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 20:35:48 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 20:36:54 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 20:36:55 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 20:36:56 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:36:57 GMT,click, idea, 14
V9E0zij,Mon, 11 Mar 2019 20:36:59 GMT,click, idea, 14
V9E0zij,Mon, 11 Mar 2019 20:37:00 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:37:02 GMT,click, idea, 25
V9E0zij,Mon, 11 Mar 2019 20:37:03 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:37:05 GMT,click, idea, 14
V9E0zij,Mon, 11 Mar 2019 20:37:17 GMT,click, idea, 14
V9E0zij,Mon, 11 Mar 2019 20:37:20 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:37:22 GMT,click, idea, 25
V9E0zij,Mon, 11 Mar 2019 20:37:23 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 20:37:24 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:37:25 GMT,click, idea, 24
V9E0zij,Mon, 11 Mar 2019 20:37:51 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:37:52 GMT,click, idea, 24
V9E0zij,Mon, 11 Mar 2019 20:37:53 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 20:37:56 GMT,click, idea, 3
V9E0zij,Mon, 11 Mar 2019 20:37:57 GMT,click, idea, 22
V9E0zij,Mon, 11 Mar 2019 20:37:59 GMT,click, idea, 1
V9E0zij,Mon, 11 Mar 2019 20:39:18 GMT,click, sortby, angry
V9E0zij,Mon, 11 Mar 2019 20:39:19 GMT,click, sortby, angry
V9E0zij,Tue, 12 Mar 2019 01:26:39 GMT,click, sortby, angry
V9E0zij,Tue, 12 Mar 2019 01:26:40 GMT,click, sortby, angry
V9E0zij,Tue, 12 Mar 2019 01:26:41 GMT,click, sortby, worried
V9E0zij,Tue, 12 Mar 2019 01:26:45 GMT,click, sortby, angry
V9E0zij,Tue, 12 Mar 2019 01:26:46 GMT,click, sortby, angry
V9E0zij,Tue, 12 Mar 2019 01:26:46 GMT,click, sortby, worried
V9E0zij,Tue, 12 Mar 2019 01:26:47 GMT,click, sortby, sad
V9E0zij,Tue, 12 Mar 2019 01:26:47 GMT,click, sortby, happy
V9E0zij,Tue, 12 Mar 2019 01:27:09 GMT,click, sortby, positive
V9E0zij,Tue, 12 Mar 2019 01:27:10 GMT,click, sortby, neutral
V9E0zij,Tue, 12 Mar 2019 01:27:11 GMT,click, idea, 23
V9E0zij,Tue, 12 Mar 2019 01:27:13 GMT,click, idea, 23
V9E0zij,Tue, 12 Mar 2019 01:27:14 GMT,click, idea, 15
V9E0zij,Tue, 12 Mar 2019 01:27:14 GMT,click, idea, 15
V9E0zij,Tue, 12 Mar 2019 01:27:21 GMT,click, sortby, angry
V9E0zij,Tue, 12 Mar 2019 01:27:22 GMT,click, sortby, positive
V9E0zij,Tue, 12 Mar 2019 01:27:23 GMT,click, sortby, positive
V9E0zij,Tue, 12 Mar 2019 01:27:24 GMT,click, sortby, neutral
V9E0zij,Tue, 12 Mar 2019 01:27:25 GMT,click, sortby, neutral
V9E0zij,Tue, 12 Mar 2019 01:27:27 GMT,click, sortby, negative
V9E0zij,Tue, 12 Mar 2019 01:27:28 GMT,click, sortby, negative
V9E0zij,Tue, 12 Mar 2019 01:27:29 GMT,click, sortby, neutral
V9E0zij,Tue, 12 Mar 2019 01:27:30 GMT,click, sortby, neutral
V9E0zij,Tue, 12 Mar 2019 01:27:31 GMT,click, sortby, negative
V9E0zij,Tue, 12 Mar 2019 01:27:32 GMT,click, sortby, negative
V9E0zij,Tue, 12 Mar 2019 01:27:33 GMT,click, idea, 1
V9E0zij,Tue, 12 Mar 2019 01:29:40 GMT,click, idea, 1
V9E0zij,Tue, 12 Mar 2019 01:29:42 GMT,click, revision, idea, 1 task, 1 comment0 revision, angry
V9E0zij,Tue, 12 Mar 2019 01:29:47 GMT,click, idea, 1
V9E0zij,Tue, 12 Mar 2019 01:29:49 GMT,click, revision, idea, 1 task, 1 comment0 revision, angry
V9E0zij,Tue, 12 Mar 2019 01:29:51 GMT,click, revision, idea, 1 task, 1 comment0 revision, worried
V9E0zij,Tue, 12 Mar 2019 01:29:53 GMT,click, idea, 2
V9E0zij,Tue, 12 Mar 2019 01:29:54 GMT,click, idea, 2
V9E0zij,Tue, 12 Mar 2019 01:29:55 GMT,click, idea, 1
V9E0zij,Tue, 12 Mar 2019 01:29:56 GMT,click, idea, 1
V9E0zij,Tue, 12 Mar 2019 01:30:00 GMT,click, idea, 1
