comment,idea_id,task_id,user_id,created_at,processed,polarity,subjectivity_score,sentiment,sentiment_corenlp,subjectivity_score_corenlp,subjectivity,profanity,named_entities_corenlp,named_entities
"A structure or monument at the Nudillo could incorporate an audio component: When the California Tower play chimes, the chimes could emanate from there as well.",1,1,3,8/4/2017 23:59,structure monument nudillo incorporate audio component california tower play chimes chimes emanate well,0,0,Positive,"Negative,","1,",Fact,0.084572445,"STATE_OR_PROVINCE-California,CITY-Tower,","['Nudillo', 'the California Tower']"
The built form should be lit at night.,1,1,3,8/4/2017 23:59,built form lit night,0,0,Positive,"Neutral,","2,",Fact,0.066590563,"TIME-night,",[]
"More than a plaza, the space can be activated through landscape, a place for food trucks nearby, and implementing a tower structure to memorialize the view/connection to Balboa Park.",1,1,3,8/4/2017 23:59,plaza space activated landscape place food trucks nearby implementing tower structure memorialize view connection balboa park,0.5,0.5,Positive,"Verynegative,","0,",Opinion,0.024679001,"CITY-Balboa,LOCATION-Park,",['Balboa Park']
The structure could incorporate an observation deck. It could echo the tower elements of the California Tower (which is visible from the Nudillo) and the MTS clock tower.,1,1,3,8/4/2017 23:59,structure incorporate observation deck echo tower elements california tower visible nudillo mts clock tower,0,0,Positive,"Negative,Negative,","1,1,",Fact,0.01867086,"STATE_OR_PROVINCE-California,CITY-Tower,ORGANIZATION-MTS,","['the California Tower', 'Nudillo', 'MTS']"
This could be an obelisk or major art piece authored by Barrio artists.,2,1,3,8/4/2017 23:59,obelisk major art piece authored barrio artists,0.0625,0.5,Positive,"Neutral,","2,",Opinion,0.137271152,"PERSON-Barrio,",[]
It is envisioned as a small traffic roundabout with a major art piece in the center in the spirit of Tijuana or Mexico City.,2,1,3,8/4/2017 23:59,envisioned small traffic roundabout major art piece center spirit tijuana mexico city,-0.095833333,0.333333333,Negative,"Positive,","3,",Fact,0.066406043,"CITY-Tijuana,COUNTRY-Mexico,LOCATION-City,","['Tijuana', 'Mexico City']"
I am not sure how it will impact safety,1,7,17,8/5/2017 1:35,sure impact safety,-0.25,0.888888889,Negative,"Neutral,","2,",Opinion,0.093506967,,[]
"Should it be a reference or a comment from workshop participants, should we hide the ideas?",1,10,17,8/5/2017 1:42,reference comment workshop participants hide ideas,0,0,Positive,"Negative,","1,",Fact,0.104864059,,[]
"I am not sure, tell me some of the implications of it",1,9,17,8/5/2017 1:43,sure tell implications,-0.25,0.888888889,Negative,"Negative,","1,",Opinion,0.125095893,,[]
how do you think .......might impact mobility?,1,8,17,8/5/2017 1:47,think might impact mobility,0,0,Positive,"Neutral,","2,",Fact,0.109071947,,[]
how do you think......(building a tower) might impact...,1,7,17,8/5/2017 1:48,think building tower might impact,0,0,Positive,"Neutral,","2,",Fact,0.053806031,,[]
"Safety maybe an issue if the square is small and lots of pedestrians need to cross the roads to use the open space.
\
In that case I would suggest a foot bridge.",3,7,18,8/7/2017 3:48,safety maybe issue square small lots pedestrians need cross roads open space case suggest foot bridge,-0.083333333,0.3,Negative,"Negative,Negative,","1,1,",Fact,0.030761673,,[]
"It would bring lots of excitement and will bring the community closer.
\
 It can also be an offsite location for museum of contemporary art in San Diego.",2,9,18,8/7/2017 3:50,bring lots excitement bring community closer also offsite location museum contemporary art san_diego,0.166666667,0.166666667,Positive,"Positive,Positive,","3,3,",Fact,0.068639945,"CITY-San Diego,",['San Diego']
"If it's planned properly it will improve the quality of life either by providing a space for public art or leisure.
\
It'll encourage the human interaction which is essential for emotional and mental well being.",3,9,18,8/7/2017 3:56,planned properly improve quality_life either providing space public_art leisure ll encourage human interaction essential emotional mental well,-0.016666667,0.236111111,Negative,"Positive,Positive,","3,3,",Fact,0.099958271,,[]
I think it's a great idea. Will provide a space for exchanging ideas and cultural conversations.,2,10,18,8/7/2017 3:58,think great_idea provide space exchanging ideas cultural conversations,0.45,0.425,Positive,"Neutral,Neutral,","2,2,",Fact,0.065182582,,[]
Relevant and great.,2,10,18,8/7/2017 4:12,relevant great,0.6,0.825,Positive,"Positive,","3,",Opinion,0.101878056,,[]
"Like this idea, but you will need to \curate\"" or make sure the art is appropriate.""",2,6,20,8/7/2017 18:29,like idea need curate make sure art appropriate,0.5,0.694444444,Positive,"Positive,","3,",Opinion,0.042392806,,[]
Not at all.,1,7,20,8/7/2017 18:29,,0,0,Positive,"Neutral,","2,",Fact,0.120956044,,[]
Public art always enlivens the area and sets a positive tone.  Just think of Millennial Park in Chicago.,2,10,22,8/7/2017 22:37,public_art always enlivens area sets positive tone think millennial park chicago,0.113636364,0.306060606,Positive,"Neutral,Neutral,","2,2,",Fact,0.059999592,"CITY-Chicago,","['Millennial Park', 'Chicago']"
It's more difficult than it seems and only makes sense if there's a lot of traffic.,3,6,22,8/7/2017 22:37,difficult seems makes sense lot traffic,0,0.833333333,Positive,"Negative,","1,",Opinion,0.06799546,,[]
Mobility won't be impacted.,4,8,22,8/7/2017 22:38,mobility won impacted,0,0,Positive,"Negative,","1,",Fact,0.114145468,,[]
I don't think it would impact the quality of life in the area.,3,9,22,8/7/2017 22:38,don think impact quality_life area,0,0,Positive,"Negative,","1,",Fact,0.121814449,,[]
Maybe this and the public art idea should be combined. into one.,4,5,22,8/7/2017 22:40,maybe public_art idea combined one,0,0.066666667,Positive,"Neutral,Neutral,","2,2,",Fact,0.041449532,"NUMBER-one,",[]
It won't.,3,7,22,8/7/2017 22:42,won,0,0,Positive,"Neutral,","2,",Fact,0.114145468,,[]
I want the color of the tower at El Nudillo to be a light gray with art designs near the bottom of it,1,12,27,8/10/2017 16:50,want color tower el nudillo light gray art designs near bottom,0.25,0.55,Positive,"Neutral,","2,",Opinion,0.017082033,"LOCATION-El Nudillo,",['El Nudillo']
"I think a roundabout at El Nudillo should have 10 crosswalks. There are currently 3 streets forming the intersection, but 5 areas for pedestrians to come from.  If a roundabout were to be created, it should allow for pedestrians to cross from any one of the 5 areas to another of the areas as well as a possible center.",3,12,26,8/10/2017 16:53,think roundabout el nudillo crosswalks currently streets forming intersection areas pedestrians come roundabout created allow pedestrians cross one areas another areas well possible center,-0.025,0.375,Negative,"Negative,Negative,Negative,","1,1,1,",Fact,0.034430331,"ORGANIZATION-El Nudillo,NUMBER-10,DATE-currently,NUMBER-3 5 one 5,",['El Nudillo']
I agree with that height should be treated in a sensitive manner. We should follow the rules of the limit while creating a representation of both cities.,1,10,27,8/10/2017 16:53,agree height treated sensitive manner follow rules limit creating representation cities,0.1,0.9,Positive,"Negative,Negative,","1,1,",Opinion,0.128224296,,[]
"I don't really know what safety is like in the area right now, but it appears to be a confusing intersection. My guess would be that putting in a roundabout would simplify things enough to improve the safety.",3,7,26,8/10/2017 16:54,don really know safety like area right_now appears confusing intersection guess putting roundabout simplify things enough improve safety,0.046428571,0.408928571,Positive,"Negative,Negative,","1,1,",Fact,0.106603198,"DATE-right now,",[]
I think it would bring the community together as it would be a landmark that represents a border between two cities,1,9,27,8/10/2017 16:57,think bring community together landmark represents border two cities,0,0,Positive,"Neutral,","2,",Fact,0.089383621,"NUMBER-two,",[]
I think we can go around this issue by simply turning off the fountain when there is a drought. Or we can make the fountain water efficient so it would conserve more water.,4,10,27,8/10/2017 16:58,think go around issue simply turning fountain drought make fountain water efficient conserve water,0.25,0.428571429,Positive,"Neutral,Neutral,","2,2,",Fact,0.02571219,,[]
"I think this idea will positively impact mobility because with an increase in safety and crosswalks, the intersection a much more comfortable area to traverse.",3,8,26,8/10/2017 16:59,think idea positively impact mobility increase safety crosswalks intersection much comfortable area traverse,0.375757576,0.615151515,Positive,"Negative,","1,",Opinion,0.049893861,,[]
I think it would not impact the quality of life at all because it is a water fountain,4,9,27,8/10/2017 17:01,think impact quality_life water fountain,0,0,Positive,"Neutral,","2,",Fact,0.089175014,,[]
"Yes, if we are trying to get the community together",4,12,27,8/10/2017 17:02,yes trying get community together,0,0,Positive,"Neutral,","2,",Fact,0.061335584,,[]
"ummm.... yes... but aren't I primed to say yes, based on the last two questions? And, if I say yes, why not a yes no or strongly agree/disagree item, then a text area, separate out the elements?",4,12,28,8/10/2017 17:21,ummm yes aren primed say yes based last two questions say yes yes strongly agree disagree item text area separate elements,0.216666667,0.4,Positive,"Negative,Negative,Negative,","1,1,1,",Fact,0.035914699,"NUMBER-two,",[]
"hmm still feeling bad from the last question. Safety: Well you might get people bathing in the fountain, that's kinda disgusting...",4,7,28,8/10/2017 17:23,hmm still feeling bad last question safety well might get people bathing fountain kinda disgusting,-0.566666667,0.577777778,Negative,"Negative,Negative,","1,1,",Opinion,0.127598236,,[]
"I think its feasible, there is a lot of local artists",2,6,30,8/10/2017 18:26,think feasible lot local artists,0,0,Positive,"Positive,","3,",Fact,0.154176235,,[]
"I feel I don't know enough about the area to answer this question, but local residents there could provide more detailed feedback because they have physically seen it.",4,7,29,8/10/2017 18:27,feel don know enough area answer question local residents provide detailed feedback physically seen,0.18,0.378571429,Positive,"Negative,","1,",Fact,0.074619118,,[]
It can bring in tourist so it may impact the families who live there.,2,9,30,8/10/2017 18:28,bring tourist may impact families live,0.136363636,0.5,Positive,"Positive,","3,",Opinion,0.087581606,,[]
I dont think so.,2,7,30,8/10/2017 18:28,dont think,0,0,Positive,"Neutral,","2,",Fact,0.130613343,,[]
Adding a fountain space in the community I think will make it a more welcoming area for everyone. People will safer in walking around and enjoy their time outside.,4,9,29,8/10/2017 18:30,adding fountain space community think make welcoming area everyone people safer walking around enjoy time outside,0.3,0.35,Positive,"Positive,Positive,","3,3,",Fact,0.0558541,,[]
"Based on this submission, the city needs an overall awareness of the issue so they see it as an urgent problem. Following that, the San Diego Water Authority should propose the various possible areas of where the city could supply water from, listing it's pros and cons so the public can assess the factors before one is chosen.",4,5,29,8/10/2017 18:34,based submission city needs overall awareness issue see urgent problem following san_diego water authority propose various possible areas city supply water listing pros cons public assess factors one chosen,0,0.333333333,Positive,"Negative,Negative,","1,1,",Fact,0.013719204,"ORGANIZATION-San Diego Water Authority,NUMBER-one,",['the San Diego Water Authority']
"I dont think building a fountain in the area will necessarily restrict any type of mobility in general. In fact, I think adding a fountain that creates a community atmosphere might encourage more people to spend time outdoors and go biking for example.",4,8,29,8/10/2017 18:35,dont think building fountain area necessarily restrict type mobility general fact think adding fountain creates community atmosphere might encourage people spend time outdoors go biking example,0.183333333,0.666666667,Positive,"Negative,Negative,","1,1,",Opinion,0.008572317,"TITLE-general,",[]
This seems like it would be more of a barrier than something that would provide increased mobility and connectivity.,1,8,32,8/10/2017 21:53,seems like barrier something provide increased mobility connectivity,0.5,0.5,Positive,"Negative,","1,",Opinion,0.070876401,,[]
"This doesn't seem that feasible due to the trolley tracks and the need to control traffic here, which is in direct conflict with a roundabout which is supposed to be free flowing for traffic.",3,6,32,8/10/2017 21:55,doesn seem feasible due trolley tracks need control traffic direct conflict roundabout supposed free flowing traffic,0.125,0.525,Positive,"Negative,","1,",Opinion,0.035554653,,[]
"more activity, people, likely to be safer",2,7,33,8/10/2017 21:56,activity people likely safer,0.25,0.75,Positive,"Negative,","1,",Opinion,0.060979003,,[]
Probably makes it worse due to the larger distances and awkward crossings required at roundabouts.,3,8,32,8/10/2017 21:56,probably makes worse due larger distances awkward crossings required roundabouts,-0.28125,0.61875,Negative,"Negative,","1,",Opinion,0.040712793,,[]
"By beautifying the neighborhood, and having the community participate in the \making\"" will increase pride and care for all.""",2,9,33,8/10/2017 21:57,beautifying neighborhood community participate making increase pride care,0,0,Positive,"Positive,","3,",Fact,0.025850304,,[]
"TRUE---any of the ideas only work if the homeless population is no longer there! It's a nightmare every where, #1 issue to be dealt with first.",2,5,33,8/10/2017 21:58,true ideas work homeless population longer nightmare every issue dealt first,0.125,0.666666667,Positive,"Negative,Negative,","1,1,",Opinion,0.133535246,"MONEY-# 1,ORDINAL-first,",[]
"Love Columbus Circle, but the trolley overly complicates this current location and it's not a similar space, especially since it is activated by all the pedestrian activity that is adjacent in Central Park.",3,5,32,8/10/2017 21:58,love columbus circle trolley overly complicates current location similar space especially since activated pedestrian activity adjacent central park,0.1,0.53,Positive,"Negative,","1,",Opinion,0.0594342,"ORGANIZATION-Columbus Circle,DATE-current,LOCATION-Central Park,","['Columbus Circle', 'Central Park']"
4 - one of each direction,3,12,32,8/10/2017 21:59,one direction,0,0,Positive,"Neutral,","2,",Fact,0.08677752,"NUMBER-4 one,",[]
Would likely make it more dangerous if the space isn't activated and the trolley still runs through here.,3,9,32,8/10/2017 22:00,likely make dangerous space isn activated trolley still runs,-0.033333333,0.8,Negative,"Negative,","1,",Opinion,0.035490837,,[]
AGAIN---COPYING ANOTHER IDEA....I think it should be something NEVER DONE BEFORE,2,10,33,8/10/2017 22:01,copying another idea think something never done,0,0,Positive,"Negative,","1,",Fact,0.085141457,,['IDEA']
merge art and culture of East Village with that of Barrio Logan and celebrate it at this intersection,6,9,35,8/10/2017 22:35,merge art culture east_village barrio_logan celebrate intersection,0,0,Positive,"Negative,","1,",Fact,0.022673853,"LOCATION-East Village Barrio,CITY-Logan,","['East Village', 'Barrio Logan']"
"it would have to be a safe, clean, public plaza with some substantially large pieces of permanent artwork to anchor the space and make it a destination for community events, concerts, etc",6,6,35,8/10/2017 22:37,safe clean public plaza substantially large pieces permanent artwork anchor space make destination community events concerts etc,0.270238095,0.423809524,Positive,"Negative,","1,",Fact,0.040333353,,[]
yes as long as it's monitored,6,5,35,8/10/2017 22:44,yes long monitored,-0.05,0.4,Negative,"Neutral,","2,",Fact,0.090403054,,[]
you'd have a lot of people on the trolley tracks ... including that tree... might conflict with trains.,10,9,37,8/11/2017 0:34,d lot people trolley tracks including tree might conflict trains,0,0,Positive,"Positive,","3,",Fact,0.043854565,,[]
Drawing crowds will make the area feel more lively and safer.,4,7,41,8/11/2017 12:25,drawing crowds make area feel lively safer,0.318181818,0.5,Positive,"Positive,","3,",Opinion,0.063972043,,[]
Highlight the fountain's efficiency and support efforts to recycle water in San Diego.,4,5,41,8/11/2017 12:25,highlight fountain efficiency support efforts recycle water san_diego,0,0,Positive,"Positive,","3,",Fact,0.0711445,"CITY-San Diego,",['San Diego']
"High water table in the area could make a \flush\"" fountain more difficult. May need to be raised.""",4,6,41,8/11/2017 12:26,high water table area make flush fountain difficult may need raised,0.053333333,0.68,Positive,"Neutral,Neutral,","2,2,",Opinion,0.083092146,"DATE-May,",['\\flush\\']
Will need to find a way to do this while being respectful of water conservation.,4,10,41,8/11/2017 12:27,need find way respectful water conservation,0.5,0.7,Positive,"Neutral,","2,",Opinion,0.13125096,,[]
"I have come up with these idea to maximize safety. Currently downtown is very unsafe due to the rush of motor traffic on every street as well as no space for dogs to have a good run. I've notice dogs becoming more aggressive as they must live in apartments and when hey come out on the street it is chaotic and full of noise, sirens, and other unfamiliar dogs. I've seen several dog fights and attacks recently. Additionally, just a simple walk tot he grocery store is nerve wracking, due to motor traffic everywhere at high speeds. My suggestion is that high rise parking be built on one block where the freeways empty into downtown and people be required to park there and take shuttles into the city center. (Very common in most European cities). The emptied streets could then be planted up with green islands that people could actually use to walk, sit in, socialize, and some could be turned in dog runs. You cannot create pedestrian friendly space in a place where motor traffic dominates the area. it's that simple.",3,7,44,8/11/2017 17:35,come idea maximize safety currently downtown unsafe due rush motor_traffic every street well space dogs good run ve notice dogs becoming aggressive must live apartments hey come street chaotic full noise sirens unfamiliar dogs ve seen several dog fights attacks recently additionally simple walk tot grocery store nerve wracking due motor_traffic everywhere high speeds suggestion high rise parking built one block freeways empty downtown people required park take shuttles city center common european cities emptied streets planted green islands people actually walk sit socialize turned dog runs create pedestrian friendly space place motor_traffic dominates area simple,0.098598485,0.396636905,Positive,"Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,","3,3,3,3,3,3,3,3,3,3,",Fact,0.053930577,"DATE-Currently,CAUSE_OF_DEATH-attacks,DATE-recently,NUMBER-one,NATIONALITY-European,",['European']
"Crosswalks are extremely dangerous. Currently, motor traffic downtown dominates the landscape. Motorists do not wait for pedestrians. They turn in fronton us on their rush to go wherever they are going. They run lights and roll through stop signs. They rush around blind spots such as buses and monster SUVS and trucks and into pedestrian traffic. This idea of a roundabout that is int he center of motor traffic is a very dangerous idea.",3,12,44,8/11/2017 17:37,crosswalks extremely dangerous currently motor_traffic downtown dominates landscape motorists wait pedestrians turn fronton us rush go wherever going run lights roll stop signs rush around blind spots buses monster suvs trucks pedestrian traffic idea roundabout int center motor_traffic dangerous idea,-0.33,0.594444444,Negative,"Negative,Negative,Negative,Negative,Negative,Negative,Negative,","1,1,1,1,1,1,1,",Opinion,0.009072738,"DATE-Currently,",['SUVS']
"If roundabouts are put into the center of motor traffic there will be more pedestrians at risk of injury or death from motors traffic. If no motor traffic is allowed and only Free Ride carts or a small trolley like the Vintage one is int he area, this would be a lovely safe space for pedestrians.",3,9,44,8/11/2017 17:38,roundabouts put center motor_traffic pedestrians risk injury death motors traffic motor_traffic allowed free ride carts small trolley like vintage one int area lovely safe space pedestrians,0.221428571,0.578571429,Positive,"Negative,Negative,","1,1,",Opinion,0.023157708,"NUMBER-one,",[]
"The only way for this to be a pleasant and civilized design is to restrict private vehicle motor traffic. Free Ride carts, the trolley or bikes should be the only traffic allowed in the area. And greenery should be lush in order to mimics air pollution and create shade.",3,8,44,8/11/2017 17:41,way pleasant civilized design restrict private vehicle motor_traffic free ride carts trolley bikes traffic allowed area greenery lush order mimics air pollution create shade,0.233333333,0.763095238,Positive,"Negative,Negative,Negative,","1,1,1,",Opinion,0.020826308,,[]
It is a brilliant idea IF private motor traffic will be restricted. If not I will not risk crossing a busy street full of private vehicles in order to reach the park.,10,9,44,8/11/2017 17:42,brilliant idea private motor_traffic restricted risk crossing busy street full private vehicles order reach park,0.27,0.52,Positive,"Neutral,Neutral,","2,2,",Opinion,0.036971274,,[]
"If private motor traffic is not restricted there will be injuries and fatalities. Additionally, there should be a separate area for dogs, in order to give both dogs and people a safe space in which to socialize. I am not a dog person, I am terrified of them and do not like sharing space with them. However I would like to see dogs have their own space as they are also downtown residents.",10,7,44,8/11/2017 17:46,private motor_traffic restricted injuries fatalities additionally separate area dogs order give dogs people safe space socialize dog person terrified like sharing space however like see dogs space also downtown residents,0.366666667,0.625,Positive,"Neutral,Neutral,Neutral,Neutral,","2,2,2,2,",Opinion,0.082671178,,[]
It is feasible if private motor traffic is restricted and dogs have their own social space.,10,6,44,8/11/2017 17:46,feasible private motor_traffic restricted dogs social space,0.211111111,0.480555556,Positive,"Negative,","1,",Fact,0.048211489,,[]
Brilliant -- love it!,6,6,44,8/11/2017 17:47,brilliant love,0.7625,0.8,Positive,"Positive,","3,",Opinion,0.114448181,,[]
Restrict private motor traffic for public safety please.,6,8,44,8/11/2017 17:48,restrict private motor_traffic public safety please,0,0.220833333,Positive,"Positive,","3,",Fact,0.05338861,,[]
"Roundabouts are most commonly used internationally, yet we have a few in San Diego. This type of functional \intersection\"" will add a distinctive element bridging Barrio Logan with East Village.""",3,6,45,8/15/2017 2:38,roundabouts commonly used internationally yet san_diego type functional intersection add distinctive element bridging barrio_logan east_village,0,0.275,Positive,"Negative,Negative,","1,1,",Fact,0.044101803,"CITY-San Diego,LOCATION-Barrio,CITY-Logan,","['Roundabouts', 'San Diego', 'Barrio Logan', 'East Village']"
Roundabouts keep traffic flowing and offer an opportunity for iconic public art in the middle or on adjacent property.,3,9,45,8/15/2017 2:40,roundabouts keep traffic flowing offer opportunity iconic public_art middle adjacent property,0.166666667,0.188888889,Positive,"Positive,","3,",Fact,0.052372545,,['Roundabouts']
It depends on the number of connecting streets. What is most common in other international cities that incorporate their usage?,3,12,45,8/15/2017 2:48,depends number connecting streets common international cities incorporate usage,0.01875,0.34375,Positive,"Neutral,Neutral,","2,2,",Fact,0.030810097,,[]
